# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_FIRST_OCCURRENCE 481 2 1953 2053 661614 3 ./assets/quest/icon_fuel.png
DUPTYPE_WITHIN_SAME_TREE -481 2 1953 2053 662842 3 ./assets_en/quest/icon_fuel.png
DUPTYPE_FIRST_OCCURRENCE 482 2 1965 2053 661615 3 ./assets/quest/icon_steel.png
DUPTYPE_WITHIN_SAME_TREE -482 2 1965 2053 662843 3 ./assets_en/quest/icon_steel.png
DUPTYPE_FIRST_OCCURRENCE 396 2 1988 2053 415620 3 ./assets/fleet/fleet_4.png
DUPTYPE_WITHIN_SAME_TREE -396 2 1988 2053 663690 3 ./assets_en/fleet/fleet_4.png
DUPTYPE_FIRST_OCCURRENCE 391 2 2049 2053 415615 3 ./assets/fleet/fleet_1_active.png
DUPTYPE_WITHIN_SAME_TREE -391 2 2049 2053 663685 3 ./assets_en/fleet/fleet_1_active.png
DUPTYPE_FIRST_OCCURRENCE 479 2 2053 2053 661612 3 ./assets/quest/icon_ammo.png
DUPTYPE_WITHIN_SAME_TREE -479 2 2053 2053 662840 3 ./assets_en/quest/icon_ammo.png
DUPTYPE_FIRST_OCCURRENCE 480 2 2054 2053 661613 3 ./assets/quest/icon_bauxite.png
DUPTYPE_WITHIN_SAME_TREE -480 2 2054 2053 662841 3 ./assets_en/quest/icon_bauxite.png
DUPTYPE_FIRST_OCCURRENCE 397 2 2080 2053 415621 3 ./assets/fleet/fleet_4_active.png
DUPTYPE_WITHIN_SAME_TREE -397 2 2080 2053 663691 3 ./assets_en/fleet/fleet_4_active.png
DUPTYPE_FIRST_OCCURRENCE 376 2 2116 2053 415600 3 ./assets/combat/mvp_marker.png
DUPTYPE_WITHIN_SAME_TREE -376 2 2116 2053 536733 3 ./assets_en/combat/mvp_marker.png
DUPTYPE_FIRST_OCCURRENCE 392 2 2138 2053 415616 3 ./assets/fleet/fleet_2.png
DUPTYPE_WITHIN_SAME_TREE -392 2 2138 2053 663686 3 ./assets_en/fleet/fleet_2.png
DUPTYPE_FIRST_OCCURRENCE 393 2 2156 2053 415617 3 ./assets/fleet/fleet_2_active.png
DUPTYPE_WITHIN_SAME_TREE -393 2 2156 2053 663687 3 ./assets_en/fleet/fleet_2_active.png
DUPTYPE_FIRST_OCCURRENCE 491 2 2223 2053 921908 3 ./assets/resupply/resupply_all.png
DUPTYPE_WITHIN_SAME_TREE -491 2 2223 2053 662856 3 ./assets_en/resupply/resupply_all.png
DUPTYPE_FIRST_OCCURRENCE 395 2 2255 2053 415619 3 ./assets/fleet/fleet_3_active.png
DUPTYPE_WITHIN_SAME_TREE -395 2 2255 2053 663689 3 ./assets_en/fleet/fleet_3_active.png
DUPTYPE_FIRST_OCCURRENCE 394 2 2311 2053 415618 3 ./assets/fleet/fleet_3.png
DUPTYPE_WITHIN_SAME_TREE -394 2 2311 2053 663688 3 ./assets_en/fleet/fleet_3.png
DUPTYPE_FIRST_OCCURRENCE 500 2 2589 2053 415666 3 ./assets/shipswitcher/shiplist_sort_level.png
DUPTYPE_WITHIN_SAME_TREE -500 2 2589 2053 662866 3 ./assets_en/shipswitcher/shiplist_sort_level.png
DUPTYPE_FIRST_OCCURRENCE 499 2 2703 2053 415665 3 ./assets/shipswitcher/shiplist_sort_class.png
DUPTYPE_WITHIN_SAME_TREE -499 2 2703 2053 662865 3 ./assets_en/shipswitcher/shiplist_sort_class.png
DUPTYPE_FIRST_OCCURRENCE 387 2 2896 2053 415611 3 ./assets/expedition/expedition_flag.png
DUPTYPE_WITHIN_SAME_TREE -387 2 2896 2053 535972 3 ./assets_en/expedition/expedition_flag.png
DUPTYPE_FIRST_OCCURRENCE 431 2 3037 2053 415655 3 ./assets/global/page_prev.png
DUPTYPE_WITHIN_SAME_TREE -431 2 3037 2053 663405 3 ./assets_en/global/page_prev.png
DUPTYPE_FIRST_OCCURRENCE 430 2 3127 2053 415654 3 ./assets/global/page_next.png
DUPTYPE_WITHIN_SAME_TREE -430 2 3127 2053 662789 3 ./assets_en/global/page_next.png
DUPTYPE_FIRST_OCCURRENCE 501 2 3163 2053 415667 3 ./assets/shipswitcher/shiplist_sort_new.png
DUPTYPE_WITHIN_SAME_TREE -501 2 3163 2053 662867 3 ./assets_en/shipswitcher/shiplist_sort_new.png
DUPTYPE_FIRST_OCCURRENCE 428 2 3168 2053 415652 3 ./assets/global/page_first.png
DUPTYPE_WITHIN_SAME_TREE -428 2 3168 2053 663402 3 ./assets_en/global/page_first.png
DUPTYPE_FIRST_OCCURRENCE 340 2 3238 2053 415564 3 ./assets/combat/combat_flagship_dmg.png
DUPTYPE_WITHIN_SAME_TREE -340 2 3238 2053 537264 3 ./assets_en/combat/combat_flagship_dmg.png
DUPTYPE_FIRST_OCCURRENCE 429 2 3264 2053 415653 3 ./assets/global/page_last.png
DUPTYPE_WITHIN_SAME_TREE -429 2 3264 2053 662788 3 ./assets_en/global/page_last.png
DUPTYPE_FIRST_OCCURRENCE 427 2 4141 2053 415651 3 ./assets/global/next_alt.png
DUPTYPE_WITHIN_SAME_TREE -427 2 4141 2053 662786 3 ./assets_en/global/next_alt.png
DUPTYPE_FIRST_OCCURRENCE 347 2 4228 2053 415571 3 ./assets/combat/event_difficulty_accept.png
DUPTYPE_WITHIN_SAME_TREE -347 2 4228 2053 536074 3 ./assets_en/combat/event_difficulty_accept.png
DUPTYPE_FIRST_OCCURRENCE 489 2 5181 2053 661795 3 ./assets/repair/repairlist_icon.png
DUPTYPE_WITHIN_SAME_TREE -489 2 5181 2053 662851 3 ./assets_en/repair/repairlist_icon.png
DUPTYPE_FIRST_OCCURRENCE 364 2 5454 2053 415588 3 ./assets/combat/lbas_group_tab_1_only.png
DUPTYPE_WITHIN_SAME_TREE -364 2 5454 2053 536132 3 ./assets_en/combat/lbas_group_tab_1_only.png
DUPTYPE_FIRST_OCCURRENCE 378 2 5742 2053 415602 3 ./assets/combat/warning_port_full_event.png
DUPTYPE_WITHIN_SAME_TREE -378 2 5742 2053 536737 3 ./assets_en/combat/warning_port_full_event.png
DUPTYPE_FIRST_OCCURRENCE 469 2 5775 2053 661534 3 ./assets/quest/filter_tab_all.png
DUPTYPE_WITHIN_SAME_TREE -469 2 5775 2053 662830 3 ./assets_en/quest/filter_tab_all.png
DUPTYPE_FIRST_OCCURRENCE 443 2 5884 2053 661234 3 ./assets/nav/screen_repair_ready.png
DUPTYPE_WITHIN_SAME_TREE -443 2 5884 2053 662804 3 ./assets_en/nav/screen_repair_ready.png
DUPTYPE_FIRST_OCCURRENCE 471 2 5899 2053 661542 3 ./assets/quest/filter_tab_daily.png
DUPTYPE_WITHIN_SAME_TREE -471 2 5899 2053 662832 3 ./assets_en/quest/filter_tab_daily.png
DUPTYPE_FIRST_OCCURRENCE 346 2 6073 2053 415570 3 ./assets/combat/event_chalkboard.png
DUPTYPE_WITHIN_SAME_TREE -346 2 6073 2053 536069 3 ./assets_en/combat/event_chalkboard.png
DUPTYPE_FIRST_OCCURRENCE 475 2 6402 2053 661555 3 ./assets/quest/filter_tab_other.png
DUPTYPE_WITHIN_SAME_TREE -475 2 6402 2053 662836 3 ./assets_en/quest/filter_tab_other.png
DUPTYPE_FIRST_OCCURRENCE 473 2 6496 2053 661546 3 ./assets/quest/filter_tab_monthly.png
DUPTYPE_WITHIN_SAME_TREE -473 2 6496 2053 662834 3 ./assets_en/quest/filter_tab_monthly.png
DUPTYPE_FIRST_OCCURRENCE 477 2 6601 2053 661610 3 ./assets/quest/filter_tab_weekly.png
DUPTYPE_WITHIN_SAME_TREE -477 2 6601 2053 662838 3 ./assets_en/quest/filter_tab_weekly.png
DUPTYPE_FIRST_OCCURRENCE 470 2 7080 2053 661535 3 ./assets/quest/filter_tab_all_active.png
DUPTYPE_WITHIN_SAME_TREE -470 2 7080 2053 662831 3 ./assets_en/quest/filter_tab_all_active.png
DUPTYPE_FIRST_OCCURRENCE 348 2 7290 2053 415572 3 ./assets/combat/event_difficulty_cancel.png
DUPTYPE_WITHIN_SAME_TREE -348 2 7290 2053 536081 3 ./assets_en/combat/event_difficulty_cancel.png
DUPTYPE_FIRST_OCCURRENCE 472 2 7402 2053 661543 3 ./assets/quest/filter_tab_daily_active.png
DUPTYPE_WITHIN_SAME_TREE -472 2 7402 2053 662833 3 ./assets_en/quest/filter_tab_daily_active.png
DUPTYPE_FIRST_OCCURRENCE 476 2 7596 2053 661609 3 ./assets/quest/filter_tab_other_active.png
DUPTYPE_WITHIN_SAME_TREE -476 2 7596 2053 662837 3 ./assets_en/quest/filter_tab_other_active.png
DUPTYPE_FIRST_OCCURRENCE 985 3 7720 2053 415503 3 ./assets/combat/2019-04-fall/_event_next_page_2.png
DUPTYPE_WITHIN_SAME_TREE -985 3 7720 2053 524801 3 ./assets_en/combat/2019-04-fall/_event_next_page_2.png
DUPTYPE_FIRST_OCCURRENCE 474 2 7941 2053 661553 3 ./assets/quest/filter_tab_monthly_active.png
DUPTYPE_WITHIN_SAME_TREE -474 2 7941 2053 662835 3 ./assets_en/quest/filter_tab_monthly_active.png
DUPTYPE_FIRST_OCCURRENCE 478 2 8010 2053 661611 3 ./assets/quest/filter_tab_weekly_active.png
DUPTYPE_WITHIN_SAME_TREE -478 2 8010 2053 662839 3 ./assets_en/quest/filter_tab_weekly_active.png
DUPTYPE_FIRST_OCCURRENCE 368 2 8717 2053 415592 3 ./assets/combat/lbas_panel_side.png
DUPTYPE_WITHIN_SAME_TREE -368 2 8717 2053 536150 3 ./assets_en/combat/lbas_panel_side.png
DUPTYPE_FIRST_OCCURRENCE 994 3 8877 2053 395629 3 ./assets/combat/2020-06-summer/_event_next_page_2.png
DUPTYPE_WITHIN_SAME_TREE -994 3 8877 2053 535993 3 ./assets_en/combat/2020-06-summer/_event_next_page_2.png
DUPTYPE_FIRST_OCCURRENCE 993 3 9258 2053 395628 3 ./assets/combat/2020-06-summer/_event_next_page_1.png
DUPTYPE_WITHIN_SAME_TREE -993 3 9258 2053 535992 3 ./assets_en/combat/2020-06-summer/_event_next_page_1.png
DUPTYPE_FIRST_OCCURRENCE 373 2 9444 2053 415597 3 ./assets/combat/lbas_resupply_menu_button_faded.png
DUPTYPE_WITHIN_SAME_TREE -373 2 9444 2053 536730 3 ./assets_en/combat/lbas_resupply_menu_button_faded.png
DUPTYPE_FIRST_OCCURRENCE 504 2 10038 2053 536740 3 ./assets_en/combat/_event_next_page_3.png
DUPTYPE_WITHIN_SAME_TREE -504 3 10038 2053 415504 3 ./assets/combat/2019-04-fall/_event_next_page_3.png
DUPTYPE_WITHIN_SAME_TREE -504 3 10038 2053 535948 3 ./assets_en/combat/2019-04-fall/_event_next_page_3.png
DUPTYPE_FIRST_OCCURRENCE 375 2 10708 2053 415599 3 ./assets/combat/medal_marker.png
DUPTYPE_WITHIN_SAME_TREE -375 2 10708 2053 536732 3 ./assets_en/combat/medal_marker.png
DUPTYPE_FIRST_OCCURRENCE 984 3 11156 2053 415502 3 ./assets/combat/2019-04-fall/_event_next_page_1.png
DUPTYPE_WITHIN_SAME_TREE -984 3 11156 2053 535893 3 ./assets_en/combat/2019-04-fall/_event_next_page_1.png
DUPTYPE_FIRST_OCCURRENCE 494 2 12494 2053 415660 3 ./assets/shipswitcher/shiplist_empty_indicator.png
DUPTYPE_WITHIN_SAME_TREE -494 2 12494 2053 662860 3 ./assets_en/shipswitcher/shiplist_empty_indicator.png
DUPTYPE_FIRST_OCCURRENCE 353 2 13351 2053 415577 3 ./assets/combat/event_difficulty_select.png
DUPTYPE_WITHIN_SAME_TREE -353 2 13351 2053 536091 3 ./assets_en/combat/event_difficulty_select.png
DUPTYPE_FIRST_OCCURRENCE 352 2 13631 2053 415576 3 ./assets/combat/event_difficulty_normal.png
DUPTYPE_WITHIN_SAME_TREE -352 2 13631 2053 536090 3 ./assets_en/combat/event_difficulty_normal.png
DUPTYPE_FIRST_OCCURRENCE 415 2 13764 2053 415639 3 ./assets/fleetswitcher/fleetswitch_fail_check.png
DUPTYPE_WITHIN_SAME_TREE -415 2 13764 2053 662774 3 ./assets_en/fleetswitcher/fleetswitch_fail_check.png
DUPTYPE_FIRST_OCCURRENCE 349 2 13855 2053 415573 3 ./assets/combat/event_difficulty_casual.png
DUPTYPE_WITHIN_SAME_TREE -349 2 13855 2053 536082 3 ./assets_en/combat/event_difficulty_casual.png
DUPTYPE_FIRST_OCCURRENCE 351 2 13900 2053 415575 3 ./assets/combat/event_difficulty_hard.png
DUPTYPE_WITHIN_SAME_TREE -351 2 13900 2053 536087 3 ./assets_en/combat/event_difficulty_hard.png
DUPTYPE_FIRST_OCCURRENCE 350 2 14057 2053 415574 3 ./assets/combat/event_difficulty_easy.png
DUPTYPE_WITHIN_SAME_TREE -350 2 14057 2053 536086 3 ./assets_en/combat/event_difficulty_easy.png
DUPTYPE_FIRST_OCCURRENCE 367 2 14859 2053 415591 3 ./assets/combat/lbas_panel_ready.png
DUPTYPE_WITHIN_SAME_TREE -367 2 14859 2053 536144 3 ./assets_en/combat/lbas_panel_ready.png
DUPTYPE_FIRST_OCCURRENCE 355 2 16292 2053 415579 3 ./assets/combat/fcf_retreat_ship.png
DUPTYPE_WITHIN_SAME_TREE -355 2 16292 2053 536100 3 ./assets_en/combat/fcf_retreat_ship.png
DUPTYPE_FIRST_OCCURRENCE 354 2 18858 2053 415578 3 ./assets/combat/fcf_continue_fleet.png
DUPTYPE_WITHIN_SAME_TREE -354 2 18858 2053 536092 3 ./assets_en/combat/fcf_continue_fleet.png
DUPTYPE_FIRST_OCCURRENCE 374 2 19101 2053 415598 3 ./assets/combat/lbas_resupply_menu_button_faded_event.png
DUPTYPE_WITHIN_SAME_TREE -374 2 19101 2053 536731 3 ./assets_en/combat/lbas_resupply_menu_button_faded_event.png
DUPTYPE_FIRST_OCCURRENCE 486 2 19627 2053 661792 3 ./assets/repair/empty_dock.png
DUPTYPE_WITHIN_SAME_TREE -486 2 19627 2053 662850 3 ./assets_en/repair/empty_dock.png
DUPTYPE_FIRST_OCCURRENCE 377 2 23555 2053 415601 3 ./assets/combat/warning_port_full.png
DUPTYPE_WITHIN_SAME_TREE -377 2 23555 2053 536736 3 ./assets_en/combat/warning_port_full.png
DUPTYPE_FIRST_OCCURRENCE 995 3 25321 2053 395630 3 ./assets/combat/2020-06-summer/_event_next_page_3.png
DUPTYPE_WITHIN_SAME_TREE -995 3 25321 2053 537010 3 ./assets_en/combat/2020-06-summer/_event_next_page_3.png
DUPTYPE_FIRST_OCCURRENCE 341 2 26570 2053 415565 3 ./assets/combat/combat_node_select.png
DUPTYPE_WITHIN_SAME_TREE -341 2 26570 2053 537266 3 ./assets_en/combat/combat_node_select.png
DUPTYPE_FIRST_OCCURRENCE 988 3 29917 2053 415506 3 ./assets/combat/2019-04-fall/_event_world_E-2.png
DUPTYPE_WITHIN_SAME_TREE -988 3 29917 2053 535983 3 ./assets_en/combat/2019-04-fall/_event_world_E-2.png
DUPTYPE_FIRST_OCCURRENCE 989 3 30038 2053 415507 3 ./assets/combat/2019-04-fall/_event_world_E-3.png
DUPTYPE_WITHIN_SAME_TREE -989 3 30038 2053 535987 3 ./assets_en/combat/2019-04-fall/_event_world_E-3.png
DUPTYPE_FIRST_OCCURRENCE 292 2 30483 2053 395625 3 ./assets/combat/_event_world_E-1.png
DUPTYPE_WITHIN_SAME_TREE -292 2 30483 2053 536741 3 ./assets_en/combat/_event_world_E-1.png
DUPTYPE_FIRST_OCCURRENCE 345 2 34618 2053 415569 3 ./assets/combat/compass.png
DUPTYPE_WITHIN_SAME_TREE -345 2 34618 2053 535986 3 ./assets_en/combat/compass.png
DUPTYPE_FIRST_OCCURRENCE 1000 3 36632 2053 399255 3 ./assets/combat/2020-06-summer/_event_world_E-5.png
DUPTYPE_WITHIN_SAME_TREE -1000 3 36632 2053 537259 3 ./assets_en/combat/2020-06-summer/_event_world_E-5.png
DUPTYPE_FIRST_OCCURRENCE 996 3 37521 2053 399238 3 ./assets/combat/2020-06-summer/_event_world_E-1.png
DUPTYPE_WITHIN_SAME_TREE -996 3 37521 2053 537038 3 ./assets_en/combat/2020-06-summer/_event_world_E-1.png
DUPTYPE_FIRST_OCCURRENCE 418 2 38363 2053 415642 3 ./assets/global/catbomb.png
DUPTYPE_WITHIN_SAME_TREE -418 2 38363 2053 662777 3 ./assets_en/global/catbomb.png
DUPTYPE_FIRST_OCCURRENCE 997 3 39941 2053 399251 3 ./assets/combat/2020-06-summer/_event_world_E-2.png
DUPTYPE_WITHIN_SAME_TREE -997 3 39941 2053 537043 3 ./assets_en/combat/2020-06-summer/_event_world_E-2.png
DUPTYPE_FIRST_OCCURRENCE 987 3 45062 2053 415505 3 ./assets/combat/2019-04-fall/_event_world_E-1.png
DUPTYPE_WITHIN_SAME_TREE -987 3 45062 2053 535977 3 ./assets_en/combat/2019-04-fall/_event_world_E-1.png
DUPTYPE_FIRST_OCCURRENCE 1001 3 49326 2053 399256 3 ./assets/combat/2020-06-summer/_event_world_E-6.png
DUPTYPE_WITHIN_SAME_TREE -1001 3 49326 2053 537260 3 ./assets_en/combat/2020-06-summer/_event_world_E-6.png
DUPTYPE_FIRST_OCCURRENCE 301 2 58207 2053 415526 3 ./assets/combat/c_world_1-6.png
DUPTYPE_WITHIN_SAME_TREE -301 2 58207 2053 535998 3 ./assets_en/combat/c_world_1-6.png
DUPTYPE_FIRST_OCCURRENCE 998 3 59908 2053 399252 3 ./assets/combat/2020-06-summer/_event_world_E-3.png
DUPTYPE_WITHIN_SAME_TREE -998 3 59908 2053 537048 3 ./assets_en/combat/2020-06-summer/_event_world_E-3.png
DUPTYPE_FIRST_OCCURRENCE 510 2 79853 2053 536995 3 ./assets_en/combat/_event_world_E-6.png
DUPTYPE_WITHIN_SAME_TREE -510 3 79853 2053 535991 3 ./assets_en/combat/2019-04-fall/_event_world_E-6.png
DUPTYPE_WITHIN_SAME_TREE -510 3 79853 2053 415510 3 ./assets/combat/2019-04-fall/_event_world_E-6.png
DUPTYPE_FIRST_OCCURRENCE 990 3 82191 2053 415508 3 ./assets/combat/2019-04-fall/_event_world_E-4.png
DUPTYPE_WITHIN_SAME_TREE -990 3 82191 2053 535989 3 ./assets_en/combat/2019-04-fall/_event_world_E-4.png
DUPTYPE_FIRST_OCCURRENCE 509 2 103404 2053 536894 3 ./assets_en/combat/_event_world_E-5.png
DUPTYPE_WITHIN_SAME_TREE -509 3 103404 2053 535990 3 ./assets_en/combat/2019-04-fall/_event_world_E-5.png
DUPTYPE_WITHIN_SAME_TREE -509 3 103404 2053 415509 3 ./assets/combat/2019-04-fall/_event_world_E-5.png
DUPTYPE_FIRST_OCCURRENCE 294 2 134008 2053 395627 3 ./assets/combat/_event_world_E-3.png
DUPTYPE_WITHIN_SAME_TREE -294 2 134008 2053 536744 3 ./assets_en/combat/_event_world_E-3.png
DUPTYPE_FIRST_OCCURRENCE 999 3 142917 2053 399254 3 ./assets/combat/2020-06-summer/_event_world_E-4.png
DUPTYPE_WITHIN_SAME_TREE -999 3 142917 2053 537258 3 ./assets_en/combat/2020-06-summer/_event_world_E-4.png
DUPTYPE_FIRST_OCCURRENCE 1002 3 152948 2053 399263 3 ./assets/combat/2020-06-summer/_event_world_E-7.png
DUPTYPE_WITHIN_SAME_TREE -1002 3 152948 2053 537261 3 ./assets_en/combat/2020-06-summer/_event_world_E-7.png
# end of file
